crop_path,digit,rotation_deg
data\bead_crops\from_video_dedup\C0021_frame001075_tag0_bead0.jpg,1,280
data\bead_crops\from_video_dedup\C0021_frame001050_tag0_bead1.jpg,6,280
data\bead_crops\from_video_dedup\C0021_frame001050_tag2_bead2.jpg,6,80
data\bead_crops\from_video_dedup\C0021_frame001025_tag2_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001050_tag0_bead3.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001050_tag1_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001050_tag2_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001075_tag2_bead1.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame001125_tag1_bead2.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001250_tag2_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001125_tag2_bead2.jpg,6,80
data\bead_crops\from_video_dedup\C0021_frame001175_tag2_bead3.jpg,6,70
data\bead_crops\from_video_dedup\C0021_frame001100_tag2_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001150_tag0_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame001125_tag1_bead1.jpg,0,260
data\bead_crops\from_video_dedup\C0021_frame001125_tag2_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001150_tag0_bead1.jpg,1,320
data\bead_crops\from_video_dedup\C0021_frame001175_tag0_bead0.jpg,1,280
data\bead_crops\from_video_dedup\C0021_frame001150_tag1_bead2.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001200_tag0_bead1.jpg,6,270
data\bead_crops\from_video_dedup\C0021_frame001150_tag2_bead3.jpg,6,70
data\bead_crops\from_video_dedup\C0021_frame001225_tag1_bead0.jpg,3,310
data\bead_crops\from_video_dedup\C0021_frame001225_tag1_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead2.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001300_tag0_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001300_tag0_bead3.jpg,6,70
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead0.jpg,1,280
data\bead_crops\from_video_dedup\C0021_frame001250_tag0_bead1.jpg,0,260
data\bead_crops\from_video_dedup\C0021_frame001325_tag1_bead4.jpg,4,270
data\bead_crops\from_video_dedup\C0021_frame001350_tag1_bead2.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001325_tag2_bead3.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame001300_tag2_bead1.jpg,0,270
data\bead_crops\from_video_dedup\C0021_frame001375_tag0_bead4.jpg,4,270
data\bead_crops\from_video_dedup\C0021_frame001325_tag0_bead0.jpg,0,250
data\bead_crops\from_video_dedup\C0021_frame001375_tag0_bead3.jpg,6,270
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead2.jpg,6,70
data\bead_crops\from_video_dedup\C0021_frame001350_tag1_bead0.jpg,1,280
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead0.jpg,0,60
data\bead_crops\from_video_dedup\C0021_frame001375_tag1_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001375_tag2_bead2.jpg,2,330
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead3.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001400_tag1_bead0.jpg,0,270
data\bead_crops\from_video_dedup\C0021_frame001400_tag1_bead1.jpg,8,270
data\bead_crops\from_video_dedup\C0021_frame001425_tag0_bead2.jpg,8,280
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead4.jpg,4,280
data\bead_crops\from_video_dedup\C0021_frame001425_tag1_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead2.jpg,6,80
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead1.jpg,0,270
data\bead_crops\from_video_dedup\C0021_frame001450_tag1_bead3.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead0.jpg,0,70
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead0.jpg,8,280
data\bead_crops\from_video_dedup\C0021_frame001475_tag0_bead2.jpg,1,290
data\bead_crops\from_video_dedup\C0021_frame001475_tag1_bead1.jpg,1,320
data\bead_crops\from_video_dedup\C0021_frame001500_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead4.jpg,4,280
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead0.jpg,3,310
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead3.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001525_tag0_bead0.jpg,8,280
data\bead_crops\from_video_dedup\C0021_frame001525_tag1_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame001725_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001550_tag1_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame001550_tag1_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead1.jpg,1,290
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead3.jpg,6,290
data\bead_crops\from_video_dedup\C0021_frame001575_tag1_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame001625_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001625_tag0_bead1.jpg,0,270
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead0.jpg,3,320
data\bead_crops\from_video_dedup\C0021_frame001625_tag1_bead4.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame001725_tag2_bead0.jpg,0,70
data\bead_crops\from_video_dedup\C0021_frame001625_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001625_tag0_bead0.jpg,8,280
data\bead_crops\from_video_dedup\C0021_frame001975_tag0_bead1.jpg,1,300
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead1.jpg,1,320
data\bead_crops\from_video_dedup\C0021_frame001625_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001650_tag1_bead2.jpg,2,300
data\bead_crops\from_video_dedup\C0021_frame001675_tag0_bead0.jpg,8,290
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001700_tag1_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001700_tag0_bead0.jpg,8,290
data\bead_crops\from_video_dedup\C0021_frame001700_tag0_bead1.jpg,0,280
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead0.jpg,3,320
data\bead_crops\from_video_dedup\C0021_frame001900_tag1_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame001725_tag0_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001900_tag1_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001775_tag0_bead0.jpg,8,290
data\bead_crops\from_video_dedup\C0021_frame001775_tag0_bead1.jpg,0,280
data\bead_crops\from_video_dedup\C0021_frame001750_tag1_bead2.jpg,2,300
data\bead_crops\from_video_dedup\C0021_frame001825_tag0_bead3.jpg,4,290
data\bead_crops\from_video_dedup\C0021_frame001800_tag0_bead4.jpg,4,290
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead2.jpg,2,290
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001800_tag1_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001925_tag2_bead1.jpg,0,70
data\bead_crops\from_video_dedup\C0021_frame001800_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001825_tag0_bead1.jpg,0,280
data\bead_crops\from_video_dedup\C0021_frame001825_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame001925_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001900_tag2_bead1.jpg,0,70
data\bead_crops\from_video_dedup\C0021_frame001900_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame001925_tag0_bead0.jpg,8,290
data\bead_crops\from_video_dedup\C0021_frame002000_tag0_bead2.jpg,0,290
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead3.jpg,6,290
data\bead_crops\from_video_dedup\C0021_frame001925_tag1_bead2.jpg,2,300
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame002000_tag2_bead1.jpg,0,70
data\bead_crops\from_video_dedup\C0021_frame002025_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002000_tag1_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead2.jpg,0,290
data\bead_crops\from_video_dedup\C0021_frame002025_tag0_bead4.jpg,4,290
data\bead_crops\from_video_dedup\C0021_frame002050_tag0_bead3.jpg,6,300
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame002075_tag1_bead4.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002075_tag0_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002075_tag0_bead1.jpg,0,290
data\bead_crops\from_video_dedup\C0021_frame002500_tag1_bead4.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame002100_tag1_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame002100_tag1_bead3.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame002175_tag0_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002225_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002225_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002125_tag0_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002200_tag0_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead4.jpg,0,310
data\bead_crops\from_video_dedup\C0021_frame002150_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead2.jpg,4,290
data\bead_crops\from_video_dedup\C0021_frame002175_tag1_bead3.jpg,0,290
data\bead_crops\from_video_dedup\C0021_frame002275_tag0_bead3.jpg,4,300
data\bead_crops\from_video_dedup\C0021_frame002325_tag2_bead0.jpg,0,80
data\bead_crops\from_video_dedup\C0021_frame002300_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002275_tag0_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead1.jpg,1,330
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002325_tag0_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame002300_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002425_tag0_bead1.jpg,1,130
data\bead_crops\from_video_dedup\C0021_frame002300_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead2.jpg,2,330
data\bead_crops\from_video_dedup\C0021_frame002325_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead0.jpg,3,320
data\bead_crops\from_video_dedup\C0021_frame002350_tag0_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame002350_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002350_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002375_tag0_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame002375_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002425_tag0_bead2.jpg,0,290
data\bead_crops\from_video_dedup\C0021_frame002650_tag0_bead3.jpg,1,340
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame002400_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead3.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame002425_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002500_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002450_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002525_tag1_bead3.jpg,6,300
data\bead_crops\from_video_dedup\C0021_frame002475_tag1_bead4.jpg,0,320
data\bead_crops\from_video_dedup\C0021_frame002475_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002625_tag0_bead0.jpg,3,330
data\bead_crops\from_video_dedup\C0021_frame002575_tag1_bead2.jpg,2,310
data\bead_crops\from_video_dedup\C0021_frame002525_tag0_bead4.jpg,0,320
data\bead_crops\from_video_dedup\C0021_frame002500_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002575_tag1_bead3.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame002525_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002600_tag0_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002700_tag0_bead4.jpg,0,330
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002575_tag2_bead3.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead0.jpg,0,80
data\bead_crops\from_video_dedup\C0021_frame002600_tag1_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002700_tag0_bead1.jpg,2,330
data\bead_crops\from_video_dedup\C0021_frame002750_tag0_bead2.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame002625_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002675_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead0.jpg,3,330
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead4.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame002650_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002675_tag0_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002675_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead1.jpg,1,340
data\bead_crops\from_video_dedup\C0021_frame002725_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002700_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002725_tag0_bead4.jpg,0,330
data\bead_crops\from_video_dedup\C0021_frame002900_tag2_bead0.jpg,0,80
data\bead_crops\from_video_dedup\C0021_frame002725_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead1.jpg,0,300
data\bead_crops\from_video_dedup\C0021_frame002875_tag2_bead1.jpg,,
data\bead_crops\from_video_dedup\C0021_frame002800_tag1_bead0.jpg,8,300
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead2.jpg,2,330
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead3.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame002825_tag1_bead1.jpg,1,310
data\bead_crops\from_video_dedup\C0021_frame002850_tag1_bead2.jpg,0,300
data\bead_crops\from_video_dedup\C0021_frame002875_tag1_bead4.jpg,0,330
data\bead_crops\from_video_dedup\C0021_frame003050_tag1_bead0.jpg,8,310
data\bead_crops\from_video_dedup\C0021_frame002900_tag1_bead2.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame003675_tag0_bead0.jpg,3,340
data\bead_crops\from_video_dedup\C0021_frame002950_tag0_bead1.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame002950_tag0_bead2.jpg,2,320
data\bead_crops\from_video_dedup\C0021_frame003825_tag2_bead4.jpg,4,310
data\bead_crops\from_video_dedup\C0021_frame003000_tag2_bead0.jpg,0,80
data\bead_crops\from_video_dedup\C0021_frame003000_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame003350_tag1_bead1.jpg,1,310
data\bead_crops\from_video_dedup\C0021_frame003025_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame003350_tag1_bead3.jpg,6,310
data\bead_crops\from_video_dedup\C0021_frame003050_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame003175_tag0_bead3.jpg,4,320
data\bead_crops\from_video_dedup\C0021_frame003100_tag2_bead2.jpg,,
data\bead_crops\from_video_dedup\C0021_frame003175_tag0_bead4.jpg,0,330
data\bead_crops\from_video_dedup\C0021_frame003350_tag1_bead0.jpg,8,310
data\bead_crops\from_video_dedup\C0021_frame003350_tag1_bead2.jpg,0,300
